timestamp,ax,ay,az
1479425728750450031,0.07,0.67,9.71
1479425728759579925,0.06,0.67,10.01
1479425728769562031,0.04,0.65,9.91
1479425728779687756,0.05,0.64,9.81
1479425728789659831,0.09,0.65,9.71
1479425728799723153,0.11,0.67,9.81
1479425728809711916,0.14,0.68,9.52
1479425728819758278,0.18,0.69,9.52
1479425728830058525,0.18,0.72,9.32
1479425728839735403,0.13,0.73,9.42
1479425728850605309,0.08,0.72,9.42
1479425728860112754,0.06,0.67,9.81
1479425728869876210,0.08,0.62,9.81
1479425728879984720,0.16,0.61,9.71
1479425728889910842,0.19,0.63,9.52
1479425728900241652,0.17,0.64,9.42
1479425728909980739,0.18,0.61,9.42
1479425728920001131,0.22,0.6,9.71
1479425728930003375,0.27,0.62,10.2
1479425728940011991,0.31,0.65,9.61
1479425728950923729,0.31,0.64,9.81
1479425728960056730,0.27,0.61,10.1
1479425728970120027,0.25,0.57,9.71
1479425728980094335,0.25,0.56,9.81
1479425728990222959,0.23,0.56,9.71
1479425729000154469,0.25,0.57,9.91
1479425729010382866,0.29,0.59,9.81
1479425729020215806,0.35,0.63,10.2
1479425729030405412,0.37,0.66,9.81
1479425729040302927,0.32,0.66,9.81
1479425729050981166,0.24,0.62,10.2
1479425729060323253,0.22,0.56,10.1
1479425729070338573,0.24,0.51,9.91
1479425729080379982,0.22,0.5,10.01
1479425729090848482,0.21,0.49,10.01
1479425729100412782,0.27,0.49,10.1
1479425729110436488,0.33,0.52,10.3
1479425729120438918,0.37,0.56,10.1
1479425729130477646,0.39,0.59,10.01
1479425729140593835,0.38,0.58,10.2
1479425729151575427,0.38,0.54,10.3
1479425729160602005,0.38,0.5,10.2
1479425729170510995,0.33,0.46,10.01
1479425729180638676,0.25,0.45,10.2
1479425729190624098,0.23,0.48,10.01
1479425729200598801,0.3,0.54,10.2
1479425729211416872,0.39,0.59,10.2
1479425729220735989,0.43,0.61,10.1
1479425729231212063,0.41,0.61,10.2
1479425729240741112,0.36,0.56,10.1
1479425729251811091,0.32,0.5,10.1
1479425729261293704,0.3,0.46,9.81
1479425729271339179,0.28,0.43,10.4
1479425729281324696,0.27,0.44,10.59
1479425729291093698,0.3,0.46,10.3
1479425729301364964,0.29,0.49,10.2
1479425729311159566,0.25,0.52,9.91
1479425729321396893,0.19,0.54,9.61
1479425729331201524,0.13,0.52,9.81
1479425729341426315,0.12,0.46,10.01
1479425729351969657,0.15,0.42,9.91
1479425729361473805,0.15,0.41,9.52
1479425729371464797,0.13,0.44,9.32
1479425729381490542,0.15,0.48,9.42
1479425729391406649,0.2,0.49,9.61
1479425729401444582,0.25,0.48,9.61
1479425729411589782,0.22,0.49,9.42
1479425729421467121,0.14,0.49,9.61
1479425729431386402,0.09,0.49,9.61
1479425729441451937,0.09,0.52,9.02
1479425729451922736,0.09,0.54,9.12
1479425729461445958,0.09,0.51,9.32
1479425729471567394,0.13,0.46,9.42
1479425729481466201,0.22,0.44,9.81
1479425729491569682,0.31,0.48,9.61
1479425729501424676,0.34,0.54,9.02
1479425729511647798,0.28,0.56,9.12
1479425729521449690,0.2,0.54,9.32
1479425729531569300,0.16,0.49,9.22
1479425729541581033,0.17,0.46,9.61
1479425729552229933,0.18,0.46,9.61
1479425729561579961,0.18,0.49,9.42
1479425729571675777,0.22,0.53,9.32
1479425729581698210,0.28,0.56,9.42
1479425729591763969,0.33,0.57,9.22
1479425729601570714,0.33,0.55,9.52
1479425729611820818,0.3,0.5,9.91
1479425729621650045,0.28,0.45,9.91
1479425729631844125,0.28,0.45,9.71
1479425729641742411,0.26,0.45,9.71
1479425729652718232,0.24,0.48,9.91
1479425729661697041,0.24,0.51,10.01
1479425729671900293,0.26,0.52,10.1
1479425729681742672,0.29,0.52,9.81
1479425729691914797,0.27,0.51,9.91
1479425729701900617,0.2,0.49,10.2
1479425729711986025,0.14,0.45,10.2
1479425729721918965,0.14,0.42,10.5
1479425729731989447,0.18,0.4,10.4
1479425729741890450,0.22,0.38,10.4
1479425729753007018,0.23,0.39,10.1
1479425729761981756,0.27,0.41,10.1
1479425729772088526,0.31,0.44,10.2
1479425729782064370,0.32,0.46,10.3
1479425729792087172,0.26,0.43,10.2
1479425729802045672,0.2,0.4,10.3
1479425729812113105,0.17,0.39,10.01
1479425729822110483,0.13,0.4,10.1
1479425729832464715,0.08,0.39,10.01
1479425729842194239,0.07,0.38,9.81
1479425729853173657,0.08,0.39,10.4
1479425729862311252,0.11,0.42,10.2
1479425729872579928,0.15,0.45,10.1
1479425729882261141,0.17,0.45,10.1
1479425729892585264,0.17,0.46,9.71
1479425729902647970,0.19,0.47,10.01
1479425729912630899,0.18,0.47,9.71
1479425729922367972,0.12,0.46,9.52
